1,0,25
1,0,22
1,0,15
1,0,35
1,0,13
1,0,15
1,0,39
1,1,24
1,0,75
1,0,22
1,0,18
1,1,20
1,0,20
1,0,16
1,1,25
1,0,37
1,0,55
1,0,40
1,0,54
1,0,17
1,0,100
1,0,25
1,0,45
1,1,25
1,0,97
1,0,25
1,0,18
2,0,20
2,0,42
2,1,26
2,0,19
2,1,42
2,0,35
2,0,19
2,0,12
2,0,16
2,1,45
2,0,13
2,0,16
2,0,100
1,1,20
1,0,15
1,0,19
1,0,28
1,0,29
1,0,55
1,1,16
1,1,11
1,1,13
1,0,14
1,0,25
1,0,20
1,0,42
1,0,18
1,1,13
1,0,14
1,1,13
1,1,11
1,0,20
1,0,10
1,1,19
1,0,30
1,1,20
1,1,18
1,0,14
1,1,17
2,1,50
2,1,55
2,0,48
2,0,40
2,1,35
2,0,75
2,0,55
2,0,150
2,1,66
2,0,50
2,0,179
2,0,55
2,1,51
2,1,65
2,0,60
2,1,78
2,1,105
2,0,65
2,0,42
2,0,99
2,1,350
2,0,75
2,0,185
2,0,55
2,0,45
2,0,35
2,0,65
1,0,10
1,0,11
1,1,22
1,0,50
1,0,12
1,1,18
1,0,40
1,0,24
1,0,28
1,0,50
1,0,30
1,0,94
1,0,13
1,0,50
1,0,22
1,0,28
1,0,22
1,1,24
1,0,18
1,1,60
1,1,18
2,0,90
2,0,29
2,0,50
2,1,22
2,0,65
2,0,39
2,1,42
2,0,45
2,1,34
2,0,45
2,0,35
2,0,48
2,1,55
2,0,45
2,0,33
2,0,75
2,0,34
2,0,45
2,0,63
2,1,30
2,0,31
2,0,60
1,0,47
1,1,17
1,1,28
1,0,14
1,0,15
1,0,24
1,0,19
1,0,22
1,0,45
1,1,20
1,0,40
1,0,45
1,1,65
1,0,30
1,1,16
1,0,45
1,0,44
1,1,15
1,0,35
1,1,13
1,0,34
1,0,19
1,0,12
1,0,50
1,0,19
1,1,14
1,1,22
1,1,13
1,1,12
1,1,14
1,1,12
1,0,47
1,1,8
1,1,13
1,1,20
1,1,24
1,0,22
1,1,22
1,0,22
1,0,24
1,1,12
1,1,24
1,0,28
1,1,23
1,1,14
1,0,15
1,0,65
0,0,38
0,1,18
1,1,20
1,1,19
1,0,24
1,1,17
1,0,45
1,1,17
1,0,29
1,0,40
1,0,20
1,0,42
1,1,15
1,0,19
1,1,14
1,1,17
1,0,32
1,0,24
1,0,65
1,0,27
1,0,55
1,0,20
1,0,30
1,1,15
1,1,28
1,0,9
1,0,95
1,1,40
1,0,15
1,1,25
1,0,38
1,1,30
1,0,16
1,0,26
1,0,35
1,0,30
1,0,14
1,1,36
1,0,45
1,1,11
1,0,19
1,0,25
1,1,15
1,1,24
1,0,19
1,0,32
1,1,20
1,1,29
2,1,21
2,1,28
2,1,32
2,1,15
2,0,32
2,0,65
2,1,18
2,1,20
2,0,100
2,0,36
2,0,52
2,0,135
2,1,25
2,1,17
2,0,16
2,1,17
2,0,42
2,1,18
2,0,16
1,0,19
1,1,26
1,0,22
1,0,22
1,0,20
1,0,59
1,0,23
1,0,17
1,0,93
1,1,20
1,0,47
1,0,64
1,0,18
1,0,24
1,0,20
1,0,125
1,1,30
1,0,18
1,1,18
1,0,17
1,0,195
1,0,48
1,1,15
1,0,18
1,0,47
1,0,7
1,0,30
1,0,35
1,0,40
1,0,35
1,1,50
1,1,25
1,0,13
1,1,13
1,0,18
1,0,39
1,1,10
1,0,16
1,0,40
1,0,12
1,0,10
1,0,18
1,0,20
1,0,24
1,0,30
1,1,32
1,1,23
1,0,15
1,0,80
1,1,35
1,0,25
1,0,22
1,1,25
1,1,19
1,0,23
1,0,34
1,0,9
1,0,50
1,0,40
1,1,21
1,1,24
1,0,30
1,0,25
1,0,35
1,0,35
1,0,22
1,1,24
2,0,55
2,0,75
2,0,60
2,1,51
2,1,49
2,0,60
2,1,54
2,1,78
2,1,60
2,1,38
2,1,92
2,0,40
2,0,57
2,0,70
2,0,26
2,1,34
2,0,40
2,0,60
2,1,42
2,0,58
2,1,95
2,0,90
2,1,55
2,0,32
1,0,24
1,0,65
1,0,27
1,0,55
1,1,25
1,0,30
1,1,14
1,0,30
1,1,23
1,0,25
1,1,20
1,0,30
1,1,15
1,1,13
1,0,29
1,0,10
1,1,17
1,1,25
1,1,6
1,0,37
1,0,13
1,1,7
2,0,14
2,1,25
2,0,16
2,1,17
2,0,42
2,1,18
2,1,32
2,0,28
2,0,38
2,0,15
2,0,40
2,1,46
2,0,35
2,0,42
2,1,14
2,1,22
2,1,19
2,0,25
2,0,37
2,0,24
2,0,58
2,1,18
2,0,34
2,0,80
2,1,23
2,0,82
2,0,55
2,0,50
2,0,31
2,0,125
2,0,135
2,0,300
2,0,35
2,0,29
2,0,27
2,1,28
2,0,59
2,0,33
2,1,18
2,0,58
0,1,13
0,1,13
0,0,32
0,0,12
0,1,8
0,0,10
0,1,10
0,1,35
0,0,28
0,1,13
0,1,10
0,1,25
0,1,18
0,1,15
0,0,17
0,0,14
0,0,17
0,1,16
0,1,13
0,0,15
0,0,27
0,1,13
0,0,27
0,1,13
0,0,17
1,0,40
1,1,25
1,1,15
1,1,16
1,1,22
1,0,34
1,0,30
1,1,26
1,1,25
1,1,21
1,1,12
1,1,14
1,1,16
1,0,20
1,0,20
1,0,62
1,0,29
1,0,33
1,0,23
1,0,25
1,0,22
1,1,25
1,1,19
1,0,23
1,0,34
1,0,9
1,0,50
1,0,40
1,1,21
1,1,24
1,0,30
1,0,25
1,0,35
1,0,35
1,0,22
1,0,51
1,0,45
1,0,13
1,0,20
1,0,14
1,0,18
1,0,22
1,1,20
1,1,25
1,1,28
1,0,45
1,0,28
1,0,12
1,0,15
1,0,16
1,0,22
1,0,20
1,0,15
1,1,57
1,1,13
1,0,40
1,0,48
1,0,26
1,0,18
1,0,20
1,0,30
1,1,15
1,0,20
1,0,22
1,1,20
1,1,22
1,0,40
1,0,18
1,0,45
1,0,29
1,0,17
1,0,58
1,1,24
1,1,35
1,0,85
1,0,24
1,0,60
1,0,16
1,1,30
1,1,14
1,0,25
1,0,37
1,0,45
1,1,14
1,0,12
1,0,12
1,1,16
1,0,18
1,0,15
1,1,11
1,0,40
1,1,10
1,0,20
1,0,15
1,0,11
1,0,23
1,1,22
1,1,19
1,0,22
1,0,18
1,0,10
1,0,40
1,1,15
1,1,12
1,0,28
1,0,17
1,1,17
2,0,70
2,0,70
2,0,84
2,1,56
2,0,65
2,0,135
2,0,32
2,0,20
2,0,65
2,0,67
2,0,65
2,0,40
2,1,45
2,0,48
2,1,40
2,0,100
2,0,55
2,0,60
2,0,45
2,1,45
2,1,53
2,0,110
2,0,40
2,1,42
2,0,98
2,1,32
2,0,28
2,0,38
2,0,15
2,1,22
2,0,30
2,1,22
2,1,15
2,1,24
2,0,35
2,0,38
2,0,16
2,0,13
2,1,12
2,1,30
2,1,16
2,0,45
2,0,33
2,1,18
2,0,42
2,0,40
2,1,22
2,0,40
2,0,55
2,0,59
2,0,58
2,1,28
2,0,50
2,0,50
2,0,38
2,0,35
2,0,65
2,1,26
2,0,50
2,0,34
2,0,65
2,0,49
1,1,25
1,1,18
1,1,16
1,1,30
1,1,30
1,0,30
1,0,17
1,1,15
1,1,25
1,0,30
1,1,13
1,0,30
1,0,19
1,1,14
1,1,15
1,1,15
1,0,27
1,0,39
1,1,15
1,1,20
1,0,40
1,0,50
1,0,15
1,1,20
1,0,30
1,1,30
1,0,25
1,1,25
1,0,32
1,0,23
1,1,15
1,1,25
1,0,30
1,0,19
1,0,19
1,1,32
1,0,29
1,0,52
1,0,28
1,0,17
1,0,20
1,1,23
1,1,30
1,1,20
1,1,32
1,0,30
1,0,38
1,0,45
1,1,16
1,0,15
1,1,15
1,0,48
1,0,15
1,0,27
1,0,17
1,0,40
1,0,12
1,0,22
1,0,14
1,0,16
0,0,36
0,0,25
0,0,42
0,0,8
0,0,12
0,0,12
0,0,20
0,1,17
0,1,13
0,0,22
0,0,15
0,1,22
0,0,33
0,1,17
0,1,15
0,1,20
0,0,11
0,0,75
0,1,11
1,1,20
1,1,17
1,0,65
1,0,12
1,0,65
1,0,25
1,1,22
1,1,15
1,0,38
1,0,42
1,1,15
1,1,23
1,0,30
1,0,11
1,0,39
1,1,18
1,0,24
1,1,18
1,1,18
1,0,8
1,1,18
1,0,12
1,1,16
1,0,35
1,1,35
1,1,14
1,0,35
1,0,26
1,0,19
1,0,32
1,1,38
1,0,42
1,0,12
1,0,16
1,0,24
1,1,13
1,0,35
1,0,29
1,0,39
1,0,25
1,1,15
1,0,39
1,0,42
1,0,15
1,0,28
1,0,32
1,1,14
1,1,26
2,1,42
2,0,25
2,0,25
2,0,65
2,0,14
2,0,25
2,0,33
2,1,33
2,0,38
2,0,38
2,0,42
2,0,45
2,0,45
2,0,30
2,0,36
2,0,42
2,1,18
2,1,24
2,0,38
1,0,49
1,0,30
1,0,28
1,0,30
1,0,10
1,1,10
1,0,32
1,0,7
1,1,22
1,1,13
1,0,26
1,1,23
1,0,11
1,0,15
1,0,42
1,1,34
1,0,28
1,1,17
1,0,16
1,0,18
1,0,60
1,1,15
1,1,18
1,0,18
1,0,35
1,1,18
1,0,15
1,1,25
1,0,49
1,0,10
1,1,16
1,1,15
1,1,15
1,0,27
1,0,39
1,1,28
1,0,32
1,1,15
1,1,32
1,1,25
1,1,15
1,0,20
1,0,50
1,1,17
1,1,15
1,0,22
1,1,18
2,0,55
2,0,45
2,1,45
2,1,38
2,0,46
2,0,40
2,1,28
2,0,58
2,1,33
2,0,29
2,0,25
2,0,85
2,1,68
2,0,54
2,0,65
2,0,40
2,1,78
2,0,140
2,1,28
2,0,75
2,1,50
2,0,50
2,0,30
2,0,40
2,0,60
2,1,30
2,0,45
2,0,110
2,1,54
2,1,34
2,1,43
2,0,25
2,0,65
2,0,12
2,0,156
2,0,49
2,1,18
2,0,42
2,0,18
1,0,46
1,1,32
1,1,9
1,0,13
1,1,20
1,0,19
1,0,30
1,0,38
1,0,30
1,0,19
1,0,46
1,0,18
1,0,14
1,1,28
1,1,15
1,0,21
1,1,20
1,1,30
1,0,35
1,1,25
1,0,33
1,1,10
1,0,16
1,0,30
1,1,11
1,0,25
1,1,26
1,0,30
1,1,13
1,1,9
1,1,16
1,0,23
1,1,24
1,0,20
1,1,15
1,0,23
1,1,18
1,0,35
1,0,28
1,1,11
1,1,14
1,0,19
1,1,16
1,0,21
1,1,22
1,0,39
1,0,25
1,0,27
1,0,65
1,0,35
1,1,35
1,0,25
1,0,45
1,1,16
1,0,16
1,1,14
1,0,34
1,0,29
1,1,17
1,0,13
1,1,18
1,0,24
1,1,18
1,1,15
1,1,34
1,1,9
1,1,20
1,1,20
1,0,25
1,0,18
0,1,13
0,0,13
0,0,15
0,0,21
0,1,22
0,0,18
0,0,33
0,1,18
0,1,18
0,0,26
0,0,11
0,0,35
0,1,9
0,1,11
0,0,15
0,0,38
0,0,28
2,0,16
1,1,18
1,1,16
1,1,13
1,1,21
1,1,26
1,1,30
1,1,15
1,0,65
1,0,18
1,1,17
1,0,26
1,0,35
1,1,19
1,0,19
1,0,60
1,0,28
1,1,18
1,1,21
1,1,25
1,1,33
1,1,24
1,0,40
1,0,48
1,0,30
1,0,19
1,0,26
1,0,25
1,0,24
1,1,18
1,0,50
1,1,25
1,0,39
1,0,45
1,0,19
1,0,28
1,0,12
1,1,25
1,1,30
1,0,40
1,0,30
1,1,22
1,0,13
1,1,18
1,0,36
1,0,15
1,0,19
1,1,10
1,0,50
1,1,20
1,0,9
1,1,9
1,0,36
1,1,18
1,1,15
1,0,32
1,1,22
1,1,30
1,1,35
1,1,20
1,0,50
1,1,20
1,1,13
1,1,17
1,0,32
1,0,40
1,1,10
1,0,15
1,1,13
1,1,10
1,1,13
1,1,16
1,1,18
1,1,10
1,0,49
1,0,10
1,0,14
1,0,31
1,0,12
1,1,15
1,0,13
1,0,19
1,0,16
1,0,13
1,0,12
2,0,60
2,1,26
2,1,39
2,1,39
2,0,58
2,0,37
2,0,150
2,0,38
2,0,18
2,0,45
2,0,45
2,1,32
2,0,40
2,0,30
2,0,60
2,0,140
2,0,55
2,0,40
2,0,55
2,0,100
2,0,85
2,1,65
2,1,48
2,0,60
2,1,44
2,1,40
2,0,45
2,0,40
2,0,64
2,0,19
2,0,45
2,0,32
2,0,30
2,1,42
2,0,53
2,1,45
2,0,39
2,0,65
2,0,40
2,0,29
2,0,40
2,0,65
2,0,28
2,0,39
2,0,35
2,0,25
2,1,55
1,1,40
1,0,13
1,0,25
1,0,15
1,0,75
1,0,28
1,0,30
1,0,32
1,0,19
1,0,38
1,0,18
1,0,46
1,0,16
1,1,24
1,1,40
1,1,25
1,1,25
1,1,27
1,0,17
1,0,15
1,0,28
1,1,28
1,0,19
1,0,60
1,0,28
1,0,15
1,0,23
1,1,16
1,1,17
1,1,48
1,0,29
1,1,14
1,1,20
1,1,34
1,1,25
1,1,25
1,0,50
1,1,18
1,1,17
1,1,14
1,0,40
1,0,35
1,1,18
1,1,18
1,1,38
1,0,53
1,1,12
1,0,40
1,0,36
1,1,11
1,1,20
1,1,21
1,1,11
1,0,17
1,0,20
1,0,16
1,0,70
1,1,13
1,0,25
1,0,28
1,0,40
1,1,35
1,1,7
1,0,36
1,0,55
1,1,17
1,0,45
1,0,13
1,0,15
1,0,13
1,0,40
1,1,22
1,0,14
1,0,18
1,1,35
1,0,60
1,1,13
1,0,79
1,1,30
1,1,9
1,1,17
1,0,27
0,1,7
0,0,12
0,0,35
0,1,9
0,0,18
0,0,18
0,0,14
0,0,32
0,1,19
0,1,30
0,0,20
0,1,13
0,1,20
0,1,8
0,1,14
0,1,15
0,0,18
0,1,13
0,0,5
0,0,17
3,0,240
3,0,90
3,1,315
3,0,115
1,0,40
1,0,14
1,0,18
1,1,12
1,0,14
1,0,14
1,1,10
1,1,24
1,1,40
1,1,25
1,1,25
1,1,27
1,0,17
1,0,15
1,0,28
1,1,28
1,1,18
1,1,45
1,0,16
1,0,40
1,0,58
1,1,14
1,0,21
1,0,19
1,1,28
1,1,22
1,0,30
1,0,60
1,0,50
1,1,12
1,1,25
1,1,30
1,0,8
1,0,23
1,0,12
1,0,19
1,1,12
1,1,25
1,1,20
1,1,9
1,0,42
1,0,55
1,1,19
1,0,50
1,0,25
1,0,22
1,0,25
1,0,32
1,0,27
1,1,25
1,1,10
1,1,16
1,1,15
1,0,13
1,0,10
1,0,10
1,1,15
1,0,35
1,0,30
1,1,15
1,1,15
1,1,29
1,0,39
1,1,10
1,1,10
1,0,19
1,0,55
1,1,23
1,0,12
1,0,28
1,1,22
1,0,12
1,0,11
1,1,30
1,0,75
1,0,75
1,0,13
1,0,15
1,1,24
1,1,11
1,0,20
1,1,18
1,0,13
1,0,30
1,1,18
2,1,45
2,1,30
2,0,85
2,1,80
2,1,40
2,0,28
2,0,30
2,0,75
2,0,45
2,0,27
2,0,120
2,1,24
2,0,45
2,0,60
2,1,20
2,0,50
2,0,30
2,0,50
2,1,45
2,1,48
2,0,59
2,0,120
2,1,25
2,1,20
2,0,85
2,0,40
2,0,50
2,0,64
2,0,20
2,0,20
2,0,54
2,0,29
2,0,28
2,0,60
2,0,35
2,1,24
2,0,50
2,0,66
2,0,56
2,0,42
2,0,20
2,0,62
2,0,50
2,0,45
2,0,32
2,0,55
2,1,30
2,0,45
2,0,35
2,0,65
1,0,60
1,1,19
1,0,55
1,0,32
1,1,22
1,1,21
1,1,48
1,0,29
1,1,14
1,0,18
1,0,27
1,1,22
1,0,13
1,0,25
1,1,23
1,1,14
1,0,48
1,0,18
1,0,20
1,0,25
1,0,25
1,1,13
1,0,17
1,0,32
1,0,14
1,0,56
1,0,17
1,0,20
1,0,22
1,0,20
1,1,32
1,1,32
1,1,16
1,1,11
1,0,10
1,0,30
1,1,37
1,1,17
1,0,25
1,1,18
1,0,35
1,0,19
1,0,18
1,1,13
1,1,45
1,0,35
1,0,15
1,1,17
1,0,25
1,0,20
1,0,48
1,0,75
1,1,21
1,1,18
1,1,22
1,0,22
1,0,22
1,0,23
1,1,9
1,0,8
1,1,33
1,0,25
3,1,187
3,0,225
3,0,90
3,0,300
3,0,120
3,0,65
3,1,140
3,0,180
3,0,50
3,0,170
3,0,200
2,0,97
2,0,50
2,0,33
2,0,37
2,0,85
2,0,85
2,0,34
2,0,257
2,1,20
2,1,95
2,0,52
2,0,30
2,0,65
1,1,19
1,1,9
1,1,35
1,0,25
1,1,20
1,0,82
1,0,36
1,0,40
1,1,25
1,0,25
1,1,20
1,1,20
1,1,50
1,1,18
1,0,46
1,1,14
1,1,26
1,0,40
1,0,15
1,0,70
1,0,20
1,0,46
1,0,65
1,0,75
1,1,45
1,0,24
1,1,22
1,0,20
1,0,150
1,0,22
1,0,26
1,1,20
1,1,18
1,1,9
1,0,42
1,1,15
1,1,22
1,0,20
1,0,17
1,0,15
1,0,10
1,0,20
1,0,15
1,0,17
1,0,27
1,0,23
1,0,40
1,1,12
1,0,13
1,0,72
1,0,11
1,1,14
1,0,65
1,0,13
1,1,15
1,0,19
1,0,15
1,0,40
1,0,13
1,0,34
1,0,28
1,0,11
1,0,45
1,1,20
1,1,17
1,1,18
1,1,15
1,1,15
2,0,20
2,0,20
2,0,35
2,0,65
2,1,28
2,0,72
2,0,55
2,0,30
2,0,32
2,0,25
2,0,25
2,1,36
2,0,34
2,0,25
2,0,20
2,0,31
2,1,18
2,0,48
2,0,40
2,0,35
2,0,45
2,0,46
2,1,29
2,0,45
2,0,30
1,1,10
1,0,12
1,0,15
1,1,9
1,1,11
1,0,30
1,1,18
1,0,15
1,1,8
1,0,10
1,0,40
1,1,20
1,1,32
1,1,26
1,1,14
1,1,11
1,1,20
1,0,26
1,0,25
1,1,16
1,1,16
1,1,20
1,1,15
1,0,20
1,0,40
1,0,24
1,0,50
1,0,40
1,0,25
1,0,60
1,0,45
1,0,45
1,1,19
1,0,40
1,1,24
1,0,18
1,0,38
1,0,35
2,1,30
2,1,38
2,0,125
2,0,60
2,1,19
2,0,55
2,0,95
2,0,26
2,0,20
2,0,52
2,0,59
2,0,45
2,0,149
2,0,32
2,1,30
2,1,43
2,0,61
2,0,60
2,0,34
2,0,44
2,0,48
2,0,44
1,0,50
1,1,17
1,0,30
1,0,90
1,1,28
1,0,36
1,1,30
1,1,14
1,0,25
1,0,36
1,0,14
1,1,10
1,0,30
1,0,40
1,1,14
1,0,45
1,0,18
1,1,20
1,0,10
1,0,25
1,0,15
1,0,12
1,0,26
1,0,55
1,1,19
1,0,50
1,0,25
1,0,22
1,0,25
1,0,32
1,0,70
1,0,20
1,0,46
1,0,65
1,0,75
1,1,9
1,0,50
1,0,80
1,0,50
1,0,88
1,0,12
1,0,30
1,0,22
1,0,55
1,1,48
1,0,25
1,1,25
1,0,13
1,0,45
1,0,24
1,0,30
1,1,10
1,1,16
1,0,35
1,1,15
1,0,25
1,1,10
1,0,12
1,1,13
1,1,15
1,0,55
1,0,26
1,0,18
1,0,55
1,0,17
1,0,11
1,0,24
1,0,32
1,0,8
1,0,60
1,1,14
1,0,14
1,0,22
1,1,15
1,0,16
1,1,28
1,1,20
1,1,25
1,1,12
1,0,25
1,1,15
1,0,26
1,1,12
1,0,21
1,0,50
1,1,28
1,0,40
1,0,25
1,1,30
1,0,15
1,1,29
1,1,16
2,0,65
2,1,140
2,0,89
2,0,60
2,1,55
2,0,140
2,1,22
2,0,100
2,0,294
2,0,195
2,0,45
2,0,130
2,0,65
2,1,140
2,0,100
2,0,38
2,0,175
2,0,27
2,0,166
2,0,39
2,1,300
2,0,45
2,0,100
2,0,70
2,1,105
2,0,226
1,0,38
1,0,35
1,0,20
1,1,20
1,1,20
1,1,14
1,0,40
1,0,20
1,0,24
1,1,23
1,0,19
1,0,35
1,0,13
1,0,65
1,1,17
1,0,14
1,0,20
1,1,16
1,1,18
1,1,12
1,1,17
1,1,30
1,1,11
1,0,19
1,0,12
1,0,35
1,1,22
1,0,14
1,0,35
1,0,23
1,1,19
1,0,23
1,0,36
1,0,8
1,0,17
1,1,7
1,1,14
1,0,11
1,0,25
1,0,32
1,0,31
1,1,11
1,1,18
1,0,19
2,0,15
2,0,38
2,0,35
2,1,20
2,0,22
2,0,38
2,1,60
2,0,70
2,0,27
2,0,19
2,1,18
2,0,40
2,0,25
2,0,38
2,0,30
2,0,35
2,0,35
2,0,20
2,0,23
2,0,55
2,0,20
2,0,17
2,0,29
2,0,13
2,0,25
1,1,12
1,1,17
1,0,18
1,1,11
1,0,25
1,1,10
1,0,12
0,0,24
0,1,15
0,1,12
0,1,10
0,1,13
0,0,12
0,0,40
0,0,65
0,0,13
0,0,8
0,0,14
0,1,16
0,1,10
0,1,17
1,0,20
1,1,20
1,1,16
1,1,20
1,0,14
1,0,20
1,1,18
1,1,28
1,0,12
1,0,26
1,0,13
1,0,24
1,0,35
1,0,15
1,0,10
1,0,25
1,0,15
1,0,27
1,1,45
2,1,45
2,1,44
2,0,60
2,1,46
2,0,90
2,0,48
2,1,64
2,1,25
2,1,25
2,1,57
2,1,35
2,1,23
2,0,125
2,0,40
2,0,54
2,1,44
2,1,22
2,0,36
2,1,25
2,0,25
2,0,60
2,0,35
2,0,49
2,0,30
2,0,80
2,1,24
2,0,40
1,1,25
1,0,48
1,0,30
1,0,39
1,0,15
1,0,40
1,0,25
1,0,17
1,0,35
1,0,22
1,0,25
1,0,48
1,1,25
1,1,20
1,0,35
1,0,45
1,0,39
1,1,35
1,0,30
1,0,35
1,0,21
1,0,40
1,0,18
1,0,30
1,0,20
1,0,19
1,0,15
1,0,15
1,0,39
1,1,18
1,0,42
1,1,30
1,1,16
1,1,18
1,1,15
1,0,24
1,1,27
1,1,26
1,1,22
1,0,17
1,1,25
1,0,52
1,0,28
1,0,15
1,1,13
1,0,40
1,1,30
1,1,20
1,1,24
1,0,22
1,0,32
1,1,22
1,0,29
1,1,27
1,0,26
1,1,20
1,1,22
1,1,42
1,0,30
1,1,29
1,1,22
1,0,125
1,1,10
1,0,30
1,1,18
1,1,12
1,0,14
1,0,10
1,0,15
1,1,11
1,0,17
1,0,23
1,0,27
1,1,12
1,0,20
1,1,40
1,0,30
1,0,30
1,0,21
1,0,32
1,0,20
1,1,16
1,1,39
1,1,28
1,1,18
1,0,17
1,0,19
1,1,49
1,0,56
1,0,44
1,1,30
1,0,29
1,1,17
1,0,17
1,1,20
1,1,13
1,1,12
1,1,14
1,0,29
1,1,45
1,1,16
1,0,22
1,0,11
1,0,12
1,1,7
1,1,9
1,0,30
1,0,15
1,1,22
1,0,9
1,1,7
1,0,35
1,1,19
1,1,28
1,1,12
1,0,11
1,1,12
2,0,40
2,0,35
2,0,35
2,1,90
2,1,48
2,0,30
2,0,32
2,0,38
2,0,64
2,0,60
2,0,38
2,0,16
2,0,37
2,0,55
2,0,48
2,0,34
2,0,65
2,0,48
2,0,45
2,0,48
2,0,25
2,0,128
2,0,48
2,1,70
2,0,280
2,1,50
2,0,85
2,0,50
2,0,50
2,1,61
2,0,25
2,0,102
2,1,100
2,0,135
2,0,90
2,0,43
2,0,32
2,0,280
2,1,85
2,0,90
2,0,60
2,0,28
2,0,75
2,0,55
2,1,80
2,1,95
1,0,15
1,0,9
1,1,15
1,0,25
1,0,35
1,1,50
1,1,16
1,1,30
1,0,27
1,1,60
1,1,10
1,0,29
1,1,14
1,0,15
1,1,15
1,0,12
1,1,16
1,1,12
1,1,11
1,0,17
1,1,15
1,1,29
1,1,26
1,1,30
0,0,23
0,0,18
0,1,15
0,0,9
0,0,20
0,1,10
0,1,10
0,1,10
0,0,15
0,1,12
0,0,35
0,1,10
0,0,13
0,1,14
0,0,36
0,0,13
0,0,12
0,1,15
0,0,14
0,0,9
2,0,45
2,0,25
2,0,45
2,0,135
2,0,32
2,0,55
2,0,25
2,0,75
2,0,65
2,0,41
2,0,38
2,0,90
2,1,39
2,0,40
2,1,70
2,1,30
2,0,85
2,0,42
2,0,25
2,1,92
2,0,40
2,0,50
2,1,69
2,0,50
2,0,39
1,0,24
1,1,27
1,1,26
1,1,22
1,0,22
1,0,32
1,1,23
1,0,20
1,0,16
1,0,23
1,0,55
1,0,23
1,1,13
1,0,13
1,1,40
1,0,35
1,1,12
1,0,30
1,1,30
1,0,21
1,1,22
1,1,28
1,1,9
1,0,18
1,0,25
1,1,25
1,0,17
1,0,42
1,0,19
1,1,17
1,1,16
1,0,50
1,1,18
1,0,28
1,0,20
1,0,30
1,0,24
1,0,15
1,0,30
1,0,49
1,0,85
1,1,18
1,0,15
1,1,22
1,1,30
1,1,15
1,0,14
1,1,19
1,0,40
1,1,17
1,0,45
1,1,8
1,0,16
1,1,21
1,0,10
1,1,25
1,1,33
1,0,14
1,0,8
1,0,70
1,1,40
1,0,35
1,1,32
1,0,18
1,0,50
1,0,60
1,0,48
1,1,20
1,0,14
1,1,24
1,0,22
1,1,17
1,0,36
1,1,25
1,0,12
1,1,18
1,0,50
1,0,22
1,1,29
1,1,26
1,1,30
1,1,12
1,0,28
1,0,14
1,1,38
1,1,13
1,0,25
1,0,50
1,0,30
1,0,15
1,0,19
1,0,36
1,1,10
1,1,12
1,0,45
1,0,29
1,0,10
1,1,20
1,0,65
1,1,18
2,0,69
2,0,25
2,0,55
2,1,45
2,0,28
2,1,26
2,0,65
2,0,40
2,0,55
2,1,32
2,0,22
2,0,24
2,0,25
2,1,29
2,0,48
2,0,175
2,0,38
2,0,65
2,0,30
2,0,34
2,1,34
2,0,30
2,1,10
2,0,56
2,0,72
1,1,7
1,0,20
1,0,10
1,0,33
1,0,34
1,0,70
1,0,27
1,0,26
1,1,13
1,1,11
1,0,35
1,1,9
1,0,40
1,1,35
1,0,47
1,1,14
1,1,12
1,0,17
1,1,19
1,1,14
0,0,13
0,0,13
0,0,36
0,0,10
0,0,13
0,1,11
0,0,10
0,1,23
0,1,11
0,1,14
0,0,30
0,1,23
0,1,13
0,1,12
0,0,14
0,0,10
0,0,18
0,0,19
0,0,15
0,0,14
0,0,12
0,0,25
0,0,20
0,0,60
2,0,65
2,0,85
2,0,70
2,0,32
2,0,29
2,0,100
2,0,100
2,0,75
2,0,60
2,0,31
2,1,45
2,0,105
2,0,65
2,1,35
2,0,60
2,0,100
2,0,82
2,0,42
2,1,110
2,1,282
2,0,50
2,0,65
2,0,100
2,0,24
2,0,100
1,0,20
1,1,16
1,0,40
1,0,25
1,0,25
1,1,20
1,0,32
1,1,18
1,1,12
1,1,16
1,0,23
1,0,20
1,0,17
1,0,45
1,1,18
1,0,30
1,0,75
1,1,20
1,1,25
1,1,20
1,0,30
1,1,16
1,0,22
2,0,42
2,0,60
2,0,75
2,1,57
2,0,89
2,1,30
2,1,24
2,0,64
2,0,60
2,0,38
2,0,45
2,0,25
2,0,47
2,0,55
2,0,65
2,0,55
2,1,35
2,0,36
2,1,28
2,0,38
2,1,10
2,0,55
2,0,65
2,0,62
2,1,40
2,1,28
2,0,65
2,0,40
2,0,55
2,1,32
2,0,72
2,0,60
2,0,58
2,0,48
2,0,175
2,0,30
2,0,17
2,0,37
2,0,20
2,0,23
2,0,48
2,0,75
2,0,32
2,0,46
2,0,17
2,0,28
2,1,31
2,0,80
2,0,35
1,1,20
1,0,35
1,0,60
1,0,14
1,0,14
1,1,42
1,1,25
1,1,14
1,0,35
1,1,20
1,0,30
1,0,15
1,0,12
1,0,19
1,1,13
1,0,30
1,0,23
1,1,15
1,0,28
1,1,12
1,1,10
1,0,44
1,1,16
1,1,17
1,1,18
1,1,16
1,0,13
1,0,19
1,0,12
1,0,20
1,0,20
1,0,40
1,0,45
1,1,17
1,0,9
1,1,16
1,1,12
0,0,12
0,1,64
0,1,22
0,0,11
0,0,20
0,0,12
0,1,12
0,0,15
0,0,17
0,1,20
0,1,9
0,0,8
0,0,12
0,0,11
0,1,16
0,1,15
